Name,Born,Status,Died,Age
Salvador Dali,5/11/1904,dead,1/23/1989,-84
Kelly Freas,8/27/1922,dead,1/2/2005,-82
Peter Max,10/19/1937,alive,,73
Mel Ramos,7/27/1935,alive,,75
Andy Warhol,4/6/1928,dead,2/22/1987,-58
Scott Carpenter,5/1/1925,alive,,85
Gordon Cooper,3/6/1927,dead,10/4/2004,-77
John Glenn,7/18/1921,alive,,89
Virgil 'Gus' Grissom,4/3/1926,dead,1/27/1967,-40
Wally Schirra,3/12/1923,dead,5/3/2007,-84
Alan Shepard,11/18/1923,dead,7/21/1998,-74
Deke Slayton,3/1/1924,dead,6/13/1993,-69
,,,,
,,,,
Name,Born,Status,Died,Age
Neil Armstrong,8/5/1930,alive,,80
Edwin 'Buzz' Aldrin,1/20/1930,alive,,80
Charles 'Pete' Conrad,6/2/1930,dead,7/8/1999,-69
Alan Bean,3/15/1932,alive,,78
Alan Shepard,11/18/1923,dead,7/21/1998,-74
Edgar Mitchell,9/17/1930,alive,,80
David Scott,6/6/1932,alive,,78
James Irwin,3/17/1930,dead,8/8/1991,-61
John Young,9/24/1930,alive,,80
Charles Duke,10/3/1935,alive,,75
Gene Cernan,3/14/1934,alive,,76
Harrison Schmidtt,7/3/1935,alive,,75
,,,,
,,,,
Name,Born,Status,Died,Age
Bill Anders,10/17/1933,alive,,77
Frank Borman,3/14/1928,alive,,82
Michael Collins,10/31/1930,alive,,79
Walter Cunningham,3/16/1932,alive,,78
Donn Eisele,6/23/1930,dead,12/2/1987,-57
Ronald Evans,11/10/1933,dead,4/6/1990,-56
Richard Gordon,10/5/1929,alive,,81
Fred Haise,11/14/1933,alive,,76
Alexei Leonov,5/30/1934,alive,,76
Jim Lovell,3/25/1928,alive,,82
Thomas Mattingly,3/17/1936,alive,,74
Jim McDivitt,6/10/1929,alive,,81
Sally Ride,5/26/1951,alive,,59
Stuart Roosa,8/16/1933,dead,12/12/1994,-61
Russell Schweickart,10/25/1935,alive,,74
Thomas Stafford,9/17/1930,alive,,80
John Swigert,8/30/1932,dead,12/27/1982,-50
Alfred Worden,12/7/1932,alive,,77
,,,,
,,,,
Name,Born,Status,Died,Age
F. Lee Bailey,6/10/1933,alive,,77
Johnnie Cochran,10/2/1937,dead,3/29/2005,-67
Alan Dershowitz,9/1/1938,alive,,72
Richard 'Racehorse' Haynes,4/3/1927,alive,,83
,,,,
,,,,
Name,Born,Status,Died,Age
Roone Arledge,7/8/1931,dead,12/5/2002,-71
Michael Eisner,3/7/1942,alive,,68
Rupert Murdoch,3/11/1931,alive,,79
Fred Silverman,9/13/1937,alive,,73
Brandon Tartikoff,1/13/1949,dead,8/27/1997,-48
Grant Tinker,1/11/1926,alive,,84
Ted Turner,11/19/1938,alive,,71
,,,,
,,,,
Name,Born,Status,Died,Age
Mary Kay Ash,5/12/1918,dead,11/22/2001,-83
Warren Buffett,8/30/1930,alive,,80
John DeLorean,1/6/1925,dead,3/19/2005,-80
Max Factor Jr.,8/18/1904,dead,6/7/1996,-91
Joseph Peter Grace,5/25/1913,dead,4/19/1995,-81
Armand Hammer,5/21/1898,dead,12/10/1990,-92
Lee Iacocca,10/15/1924,alive,,86
Herb Kelleher,3/12/1931,alive,,79
Victor Kiam,12/7/1927,dead,5/27/2001,-73
Ray Kroc,10/5/1902,dead,1/14/1984,-81
Estée Lauder,7/1/1908,dead,4/24/2004,-95
Ken Lay,4/15/1942,dead,7/5/2006,-64
T. Boone Pickens,5/22/1928,alive,,82
Ron Popeil,5/3/1935,alive,,75
Orville Redenbacher,7/16/1907,dead,9/19/1995,-88
David Rockefeller,6/12/1915,alive,,95
Earl Scheib,2/28/1908,dead,2/29/1992,-84
Dave Thomas,7/2/1932,dead,1/8/2002,-69
Donald Trump,6/14/1946,alive,,64
Sam Walton,3/29/1918,dead,4/5/1992,-74
,,,,
,,,,
Name,Born,Status,Died,Age
Neal Adams,6/12/1941,alive,,69
Will Eisner,3/6/1917,dead,1/3/2005,-87
Jules Feiffer,1/26/1929,alive,,81
Bob Kane,10/25/1915,dead,11/3/1998,-83
Jack Kirby,8/28/1917,dead,2/6/1994,-76
Frank Miller,1/27/1957,alive,,53
Dennis O'Neil,5/3/1939,alive,,71
Julius Schwartz,6/19/1915,dead,2/8/2004,-88
Joe Shuster,7/10/1914,dead,7/30/1992,-78
Jerry Siegel,10/17/1914,dead,1/30/1996,-81
,,,,
,,,,
Name,Born,Status,Died,Age
Sergio Aragones,1937,alive,,72
Dave Berg,6/12/1920,dead,5/16/2002,-81
Mort Drucker,3/29/1929,alive,,81
Al Jaffee,3/13/1921,alive,,89
Harvey Kurtzman,10/3/1924,dead,2/21/1993,-68
Don Martin,5/18/1931,dead,1/6/2000,-68
Antonio Prohias,1/17/1921,dead,2/24/1998,-77
,,,,
,,,,
Name,Born,Status,Died,Age
Charles Addams,1/7/1912,dead,9/29/1988,-76
Tom Batiuk,3/14/1947,alive,,63
Jack T. Chick,4/13/1924,alive,,86
Isadore 'Friz' Freleng,8/21/1906,dead,5/26/1995,-88
Chester Gould,11/20/1900,dead,5/11/1985,-84
Edward Gorey,2/25/1925,dead,4/15/2000,-75
Cathy Guisewite,9/5/1950,alive,,60
Johnny Hart,2/8/1931,dead,4/7/2007,-76
Al Hirschfeld,6/21/1903,dead,1/20/2003,-99
Chuck Jones,9/21/1912,dead,2/22/2002,-89
Bil Keane,10/5/1922,alive,,88
Henry 'Hank' Ketcham,3/14/1920,dead,6/1/2001,-81
Walter Lantz,4/27/1900,dead,3/22/1994,-93
Gary Larson,8/14/1950,alive,,60
Stan Lee,12/28/1922,alive,,87
Charles Schulz,11/26/1922,dead,2/12/2000,-77
Mort Walker,9/3/1923,alive,,87
Jay Ward,9/21/1920,dead,10/12/1989,-69
Bill Watterson,7/5/1958,alive,,52
,,,,
,,,,
Name,Born,Status,Died,Age
Bobby Fischer,3/9/1943,dead,1/17/2008,-64
Anatoly Karpov,5/23/1951,alive,,59
Gary Kasparov,4/13/1963,alive,,47
Boris Spassky,1/30/1937,alive,,73
,,,,
,,,,
Name,Born,Status,Died,Age
Rona Barrett,10/8/1936,alive,,74
Joyce Brothers,9/20/1928,alive,,82
Jeane Dixon,1/5/1918,dead,1/25/1997,-79
Ann Landers,7/4/1918,dead,6/22/2002,-83
Abigail Van Buren,7/4/1918,alive,,92
,,,,
,,,,
Name,Born,Status,Died,Age
Milton Ager,10/6/1893,dead,5/6/1979,-85
Paul Anka,7/30/1941,alive,,69
Burt Bacharach,5/12/1929,alive,,81
Jeff Barry,4/3/1938,alive,,72
Hal David,5/25/1921,alive,,89
Lamont Dozier,6/16/1941,alive,,69
Gerry Goffin,2/11/1939,alive,,71
Howard Greenfield,3/15/1936,dead,3/4/1986,-49
Ellie Greenwich,10/23/1940,dead,8/26/2009,-68
Brian Holland,2/15/1941,alive,,69
Eddie Holland,10/30/1939,alive,,70
Carole King,2/9/1942,alive,,68
Kris Kristofferson,6/22/1936,alive,,74
Randy Newman,11/28/1943,alive,,66
Laura Nyro,10/18/1947,dead,4/8/1997,-49
Bernie Taupin,5/22/1950,alive,,60
Paul Williams,9/19/1940,alive,,70
Jack Yellen,7/6/1892,dead,4/17/1991,-98
,,,,
,,,,
Name,Born,Status,Died,Age
Andrae Crouch,6/1/1950,alive,,60
Tom Fettke,??/??/1941,alive,,69
Bill Gaither,3/28/1936,alive,,74
Gloria Gaither,3/4/1942,alive,,68
Dottie Rambo,3/2/1934,dead,5/11/2008,-74
,,,,
,,,,
Name,Born,Status,Died,Age
Irving Berlin,5/11/1888,dead,9/22/1989,-101
Elmer Bernstein,4/4/1922,dead,8/18/2004,-82
Alexander Courage,12/10/1919,dead,5/15/2008,-88
Jerry Goldsmith,2/10/1929,dead,7/21/2004,-75
Marvin Hamlisch,6/2/1944,alive,,66
Neal Hefti,10/29/1922,dead,10/11/2008,-85
Henry Mancini,4/16/1924,dead,6/14/1994,-70
Ennio Morricone,11/10/1928,alive,,81
Mike Post,9/29/1944,alive,,66
Nelson Riddle,6/1/1921,dead,10/6/1985,-64
Stephen Sondheim,3/22/1930,alive,,80
Andrew Lloyd Webber,3/22/1948,alive,,62
John Williams,2/8/1932,alive,,78
Meredith Willson,5/18/1902,dead,6/15/1984,-82
,,,,
,,,,
Name,Born,Status,Died,Age
Woody Allen,12/1/1935,alive,,74
Robert Altman,2/20/1925,dead,11/20/2006,-81
Samuel Z. Arkoff,6/12/1918,dead,9/16/2001,-83
William Asher,8/8/1921,alive,,89
Richard Attenborough,8/29/1923,alive,,87
Albert 'Cubby' Broccoli,4/5/1909,dead,6/27/1996,-87
Ingmar Bergman,7/14/1918,dead,7/30/2007,-89
Joe Barbera,3/24/1911,dead,12/18/2006,-95
Mel Brooks,6/28/1926,alive,,84
Tim Burton,8/25/1958,alive,,52
Stephen J. Cannell,2/5/1941,dead,9/30/2010,-69
John Carpenter,1/16/1948,alive,,62
Ethan Coen,9/21/1957,alive,,53
Joel Coen,11/29/1954,alive,,55
Francis Ford Coppola,4/7/1939,alive,,71
Don Cornelius,9/27/1936,alive,,74
Wes Craven,8/2/1939,alive,,71
David Cronenberg,3/15/1943,alive,,67
Fred De Cordova,10/27/1910,dead,9/15/2001,-90
Dino De Laurentiis,8/8/1918,alive,,92
Brian De Palma,9/11/1940,alive,,70
John Derek,8/12/1926,dead,5/22/1998,-71
William Dozier,2/13/1908,dead,4/23/1991,-83
Blake Edwards,7/26/1922,alive,,88
Mark Goodson,1/14/1915,dead,12/18/1992,-77
Bill Hanna,7/14/1910,dead,3/22/2001,-90
Ray Harryhausen,6/29/1920,alive,,90
Paul Henning,9/16/1911,dead,3/25/2005,-93
John Huston,8/5/1906,dead,8/28/1987,-81
Leonard Katzman,9/2/1927,dead,9/5/1996,-69
Elia Kazan,9/7/1909,dead,9/28/2003,-94
Marty Krofft,4/9/1937,alive,,73
Sid Krofft,7/30/1929,alive,,81
Stanley Kubrick,7/26/1928,dead,3/7/1999,-70
John Landis,8/3/1950,alive,,60
Norman Lear,8/27/1922,alive,,88
Sheldon Leonard,2/22/1907,dead,1/10/1997,-89
George Lucas,5/14/1944,alive,,66
Quinn Martin,5/22/1922,dead,6/8/1987,-65
Russ Meyer,3/21/1922,dead,9/18/2004,-82
Lorne Michaels,11/17/1944,alive,,65
Roman Polanski,8/18/1933,alive,,77
Garry Marshall,11/13/1934,alive,,75
Carl Reiner,3/20/1922,alive,,88
Rob Reiner,3/6/1945,alive,,65
Leni Riefenstahl,8/22/1902,dead,9/8/2003,-101
Hal Roach,1/14/1892,dead,11/2/1992,-100
Gene Roddenberry,8/19/1921,dead,10/24/1991,-70
George Romero,2/4/1940,alive,,70
Alexander Salkind,6/2/1921,dead,3/8/1997,-75
Sherwood Schwartz,11/14/1916,alive,,93
Martin Scorsese,11/17/1942,alive,,67
Aaron Spelling,4/22/1923,dead,6/23/2006,-83
Steven Spielberg,12/18/1946,alive,,63
Oliver Stone,9/15/1946,alive,,64
Paul Verhoeven,7/18/1938,alive,,72
Orson Welles,5/6/1915,dead,10/10/1985,-70
Billy Wilder,6/22/1906,dead,3/27/2002,-95
Robert Wise,9/10/1914,dead,9/14/2005,-91
Darryl F. Zanuck,9/5/1902,dead,12/22/1979,-77
Richard D. Zanuck,12/13/1934,alive,,75
,,,,
,,,,
Name,Born,Status,Died,Age
Giorgio Armani,7/11/1934,alive,,76
Bill Blass,6/22/1922,dead,6/11/2002,-79
Pierre Cardin,7/6/1922,alive,,88
Liz Claiborne,3/31/1929,dead,6/26/2007,-78
Perry Ellis,3/3/1940,dead,5/30/1986,-46
Halston,4/23/1932,dead,3/26/1990,-57
Calvin Klein,11/19/1942,alive,,67
Ralph Lauren,10/14/1939,alive,,71
Bob Mackie,3/24/1940,alive,,70
Yves Saint Laurent,8/1/1936,dead,6/1/2008,-71
Gloria Vanderbilt,2/20/1924,alive,,86
Gianni Versace,12/2/1946,dead,7/15/1997,-50
,,,,
,,,,
Name,Born,Status,Died,Age
Jack Anderson,10/19/1922,dead,12/16/2005,-83
Carl Bernstein,2/14/1944,alive,,66
David Bloom,5/22/1963,dead,4/6/2003,-39
Ed Bradley,6/22/1941,dead,11/9/2006,-65
David Brinkley,7/20/1920,dead,6/11/2003,-82
Tom Brokaw,2/6/1940,alive,,70
Pat Buchanan,11/2/1938,alive,,71
Art Buchwald,10/20/1925,dead,1/17/2007,-81
William F. Buckley,11/24/1925,dead,2/27/2008,-82
John Chancellor,7/14/1927,dead,7/12/1996,-68
Walter Cronkite,11/4/1916,dead,7/17/2009,-92
Sam Donaldson,3/11/1934,alive,,76
Paul Harvey,9/4/1918,dead,2/28/2009,-90
John Holliman,10/23/1948,dead,9/12/1998,-49
Molly Ivins,8/30/1944,dead,1/31/2007,-62
Peter Jennings,7/29/1938,dead,8/7/2005,-67
Charles Kuralt,9/10/1934,dead,7/4/1997,-62
Jim Lehrer,5/19/1934,alive,,76
Robert MacNeil,1/19/1931,alive,,79
John McLaughlin,3/29/1927,alive,,83
Roger Mudd,2/9/1928,alive,,82
Edwin Newman,1/25/1919,dead,8/13/2010,-91
Robert Novak,2/26/1931,dead,8/18/2009,-78
Dan Rather,10/31/1931,alive,,78
Harry Reasoner,4/17/1923,dead,8/6/1991,-68
Andy Rooney,1/14/1919,alive,,91
Carl T. Rowan,8/11/1925,dead,9/23/2000,-75
Tim Russert,5/7/1950,dead,6/13/2008,-58
Morley Safer,11/8/1931,alive,,78
William Safire,12/17/1929,dead,9/27/2009,-79
Jessica Savitch,2/2/1948,dead,10/23/1983,-35
Diane Sawyer,12/22/1945,alive,,64
Helen Thomas,8/24/1920,alive,,90
Mike Wallace,5/9/1918,alive,,92
Barbara Walters,9/25/1929,alive,,81
Bob Woodward,3/26/1943,alive,,67
,,,,
,,,,
Name,Born,Status,Died,Age
William Calley,6/8/1945,alive,,65
Jeremiah Denton,7/15/1924,alive,,86
Oliver North,10/7/1943,alive,,67
Norman Schwarzkopf,8/22/1934,alive,,76
William Westmoreland,3/26/1914,dead,7/18/2005,-91
,,,,
,,,,
Name,Born,Status,Died,Age
Christie Brinkley,2/2/1954,alive,,56
Cindy Crawford,2/20/1966,alive,,44
Janice Dickinson,2/15/1955,alive,,55
Kathy Ireland,3/8/1963,alive,,47
Elle MacPherson,3/29/1964,alive,,46
Cynthia Myers,9/12/1950,alive,,60
Bettie Page,4/22/1923,dead,12/11/2008,-85
Paulina Porizkova,4/9/1965,alive,,45
Claudia Schiffer,8/25/1970,alive,,40
Anna Nicole Smith,11/28/1967,dead,2/8/2007,-39
Dorothy Stratten,2/28/1960,dead,8/14/1980,-20
Krissy Taylor,5/15/1978,dead,7/2/1995,-17
Niki Taylor,3/5/1975,alive,,35
Cheryl Tiegs,9/25/1947,alive,,63
Twiggy (Leslie Hornby),9/19/1946,alive,,64
June Wilkinson,3/27/1940,alive,,70
Bunny Yeager,3/13/1930,alive,,80
,,,,
,,,,
Name,Born,Status,Died,Age
Klaus Barbie,10/15/1913,dead,9/25/1991,-77
David Berkowitz,6/1/1953,alive,,57
Ted Bundy,11/24/1946,dead,1/23/1989,-42
Mark David Chapman,5/10/1955,alive,,55
Jeffrey Dahmer,5/21/1960,dead,11/28/1994,-34
John Wayne Gacy,3/17/1942,dead,5/10/1994,-52
Charles Manson,11/12/1934,alive,,75
James Earl Ray,3/10/1928,dead,4/23/1998,-70
Sirhan Sirhan,??/??/1943,alive,,67
Richard Speck,12/6/1941,dead,12/5/1991,-49
,,,,
,,,,
Name,Born,Status,Died,Age
Richard Avedon,5/15/1923,dead,10/1/2004,-81
Gilles Bensimon,??/??/1944,alive,,66
Henri Cartier-Bresson,8/22/1908,dead,8/4/2004,-95
Alfred Eisenstaedt,12/6/1898,dead,8/23/1995,-96
Ron Galella,??/??/1931,alive,,79
Hiro,??/??/1930,alive,,80
Art Kane,4/9/1925,dead,2/21/1995,-69
Annie Leibovitz,10/2/1949,alive,,61
Robert Mapplethorpe,11/4/1946,dead,3/9/1989,-42
Helmut Newton,10/31/1920,dead,1/23/2004,-83
Irving Penn,6/16/1917,dead,10/7/2009,-92
Leni Riefenstahl,8/22/1902,dead,9/8/2003,-101
Herb Ritts,??/??/1952,dead,12/26/2002,-50
Joe Rosenthal,10/9/1911,dead,8/20/2006,-94
Francesco Scavullo,1/16/1921,dead,1/6/2004,-82
Bunny Yeager,3/13/1930,alive,,80
,,,,
,,,,
Name,Born,Status,Died,Age
Robert Atkins,10/17/1930,dead,4/17/2003,-72
Christiaan Barnard,11/8/1922,dead,9/2/2001,-78
Denton Cooley,8/22/1920,alive,,90
Michael DeBakey,9/7/1908,dead,7/11/2008,-99
C. Everett Koop,10/14/1916,alive,,94
,,,,
,,,,
Name,Born,Status,Died,Age
Walter H. Annenberg,3/13/1908,dead,10/1/2002,-94
Helen Gurley Brown,2/18/1922,alive,,88
Al Feldstein,10/24/1925,alive,,84
Larry Flynt,11/1/1942,alive,,67
William M. Gaines,3/1/1922,dead,6/3/1992,-70
Bob Guccione,12/17/1930,dead,10/20/2010,-79
Hugh Hefner,4/9/1926,alive,,84
Jann Wenner,1/7/1946,alive,,64
,,,,
,,,,
Name,Born,Status,Died,Age
Annette Dionne,5/28/1934,alive,,76
Cecile Dionne,5/28/1934,alive,,76
Emile Dionne,5/28/1934,dead,8/6/1954,-20
Marie Dionne,5/28/1934,dead,2/27/1970,-35
Yvonne Dionne,5/28/1934,dead,6/23/2001,-67
,,,,
,,,,
Name,Born,Status,Died,Age
Clive Davis,4/4/1934,alive,,76
Berry Gordy,11/28/1929,alive,,80
George Martin,1/3/1926,alive,,84
Col. Tom Parker,6/26/1909,dead,1/21/1997,-87
Phil Spector,12/26/1940,alive,,69
Quincy Jones,3/14/1933,alive,,77
,,,,
,,,,
Name,Born,Status,Died,Age
Jim Bakker,1/2/1939,alive,,71
Tammy Faye Bakker,3/7/1942,dead,7/20/2007,-65
Pope Benedict XVI,4/16/1927,alive,,83
Ezra Taft Benson,8/4/1899,dead,5/30/1994,-94
Jerry Falwell,8/11/1933,dead,5/15/2007,-73
Billy Graham,11/7/1918,alive,,91
Gordon Hinckley,6/23/1910,dead,1/27/2008,-97
Rex Humbard,8/13/1919,dead,9/21/2007,-88
Pope John Paul II,5/18/1920,dead,4/2/2005,-84
John MacArthur,6/14/1939,alive,,71
John O'Connor,1/15/1920,dead,5/3/2000,-80
Oral Roberts,1/24/1918,dead,12/15/2009,-91
Robert Schuller,9/16/1926,alive,,84
Charles Stanley,9/25/1932,alive,,78
Jimmy Swaggart,3/15/1935,alive,,75
Desmond Tutu,10/7/1931,alive,,79
,,,,
,,,,
Name,Born,Status,Died,Age
Jacques Cousteau,6/11/1910,dead,6/25/1997,-87
Francis Crick,6/8/1916,dead,7/28/2004,-88
Richard P. Feynman,5/11/1918,dead,2/15/1988,-69
Stephen Jay Gould,9/10/1941,dead,5/20/2002,-60
Stephen Hawking,1/8/1942,alive,,68
Edward Lorenz,5/23/1917,dead,4/16/2008,-90
Benoit Mandelbrot,11/20/1924,dead,10/14/2010,-85
Linus Pauling,2/28/1901,dead,8/19/1994,-93
Carl Sagan,11/9/1934,dead,12/20/1996,-62
Jonas Salk,10/28/1914,dead,6/23/1995,-80
Andrei Sakharov,5/21/1921,dead,12/14/1989,-68
Glenn Seaborg,4/19/1912,dead,2/25/1999,-86
Edward Teller,1/15/1908,dead,9/9/2003,-95
James Van Allen,9/7/1914,dead,8/9/2006,-91
James Watson,4/6/1928,alive,,82
,,,,
,,,,
Name,Born,Status,Died,Age
Anita Bryant,3/25/1940,alive,,70
Stokely Carmichael,6/29/1941,dead,11/15/1998,-57
Cesar Chavez,3/31/1927,dead,4/22/1993,-66
James Dobson,4/21/1936,alive,,74
Louis Farrakhan,5/11/1933,alive,,77
Betty Friedan,2/4/1921,dead,2/4/2006,-85
Abbie Hoffman,11/30/1936,dead,4/12/1989,-52
Patricia Ireland,10/19/1945,alive,,65
Coretta Scott King,4/27/1927,dead,1/30/2006,-78
Ralph Nader,2/27/1934,alive,,76
Madalyn Murray O'Hair,4/13/1919,dead,9/29/1995,-76
Phyllis Schlafly,8/15/1924,alive,,86
Al Sharpton,10/3/1954,alive,,56
Gloria Steinem,3/25/1934,alive,,76
Molly Yard,7/6/1912,dead,9/21/2005,-93
,,,,
,,,,
Name,Born,Status,Died,Age
Noam Chomsky,12/7/1928,alive,,81
Milton Friedman,7/31/1912,dead,11/16/2006,-94
Dian Fossey,1/16/1932,dead,12/27/1985,-53
John Kenneth Galbraith,10/15/1908,dead,4/29/2006,-97
Jane Goodall,3/3/1934,alive,,76
Thor Heyerdahl,10/6/1914,dead,4/18/2002,-87
Elisabeth Kuebler-Ross,7/8/1926,dead,8/24/2004,-78
Arthur Laffer,8/14/1940,alive,,70
Mary Leakey,2/6/1913,dead,12/9/1996,-83
Claude Levi-Strauss,11/28/1908,dead,10/30/2009,-100
Arthur Schlesinger Jr.,10/15/1917,dead,2/27/2007,-89
B. F. Skinner,3/20/1904,dead,8/18/1990,-86
Paul Volcker,9/5/1927,alive,,83
James Q. Wilson,5/27/1931,alive,,79
,,,,
,,,,
Name,Born,Status,Died,Age
Douglas Adams,3/11/1952,dead,5/11/2001,-49
Mortimer J. Adler,12/2/1902,dead,6/28/2001,-98
Isaac Asimov,1/2/1920,dead,4/6/1992,-72
Saul Bellow,7/10/1915,dead,4/5/2005,-89
Peter Benchley,5/8/1940,dead,2/11/2006,-65
Erma Bombeck,2/21/1927,dead,4/22/1996,-69
Ray Bradbury,8/22/1920,alive,,90
Barbara Cartland,7/9/1901,dead,5/21/2000,-98
Arthur C. Clarke,12/16/1917,dead,3/19/2008,-90
Michael Crichton,10/23/1942,dead,11/4/2008,-66
Dominick Dunne,10/29/1925,dead,8/26/2009,-83
Theodore Geisel (Dr. Seuss),3/20/1904,dead,9/24/1991,-87
Larry Gelbart,2/25/1928,dead,9/11/2009,-81
Alex Haley,8/11/1921,dead,2/10/1992,-70
L. Ron Hubbard,3/13/1911,dead,1/24/1986,-74
Stephen King,9/21/1947,alive,,63
Louis L'Amour,3/22/1908,dead,6/10/1988,-80
Ira Levin,8/27/1929,dead,11/12/2007,-78
Robert Ludlum,5/25/1927,dead,3/12/2001,-73
Norman Mailer,1/31/1923,dead,11/9/2007,-84
James Michener,2/3/1907,dead,10/16/1997,-90
Arthur Miller,10/17/1915,dead,2/10/2005,-89
George Plimpton,3/18/1927,dead,9/25/2003,-76
Mario Puzo,10/15/1920,dead,7/2/1999,-78
Anne Rice,10/4/1941,alive,,69
J. D. Salinger,1/1/1919,dead,1/27/2010,-91
Salman Rushdie,6/19/1947,alive,,63
Maurice Sendak,6/10/1928,alive,,82
Sidney Sheldon,2/11/1917,dead,1/30/2007,-89
Neil Simon,7/4/1927,alive,,83
Alexander Solzhenitsyn,12/11/1918,dead,8/3/2008,-89
Mickey Spillane,3/9/1918,dead,7/17/2006,-88
Benjamin Spock,5/2/1903,dead,3/15/1998,-94
Hunter S. Thompson,7/18/1936,dead,2/20/2005,-68
John Updike,3/18/1932,dead,1/27/2009,-76
Gore Vidal,10/3/1925,alive,,85
Kurt Vonnegut Jr.,11/11/1922,dead,4/11/2007,-84
Eudora Welty,4/13/1909,dead,7/23/2001,-92
Tennessee Williams,3/26/1911,dead,2/24/1983,-71
,,,,
,,,,
Name,Born,Status,Died,Age
Red Adair,6/18/1915,dead,8/7/2004,-89
Osama Bin Laden,7/30/1957,alive,,53
Richard 'Mr.' Blackwell,8/29/1922,dead,10/19/2008,-86
Billy Carter,3/29/1937,dead,9/25/1988,-51
Seymour Cray,9/28/1925,dead,10/5/1996,-71
"Elizabeth, the Queen Mother",8/4/1900,dead,3/30/2002,-101
Minnesota Fats,1/19/1913,dead,1/18/1996,-82
Bob Fosse,6/23/1927,dead,9/23/1987,-60
Jim Fowler,4/9/1932,alive,,78
R. Buckminster Fuller,7/12/1895,dead,7/1/1983,-87
John Gotti,10/27/1940,dead,6/10/2002,-61
Lew Grade,12/25/1906,dead,12/13/1998,-91
Knut Haugland,9/23/1917,dead,12/25/2009,-92
Patricia Hearst,2/20/1954,alive,,56
Leona Helmsley,7/4/1920,dead,8/20/2007,-87
Henry Hill,6/11/1943,alive,,67
Edmund Hillary,7/20/1919,dead,1/11/2008,-88
John Hinckley Jr.,5/29/1955,alive,,55
Philip Johnson,7/8/1906,dead,1/25/2005,-98
Rose Kennedy,7/22/1890,dead,1/22/1995,-104
Jack Kevorkian,5/28/1928,alive,,82
Timothy Leary,10/22/1920,dead,5/31/1996,-75
Anne Morrow Lindbergh,6/22/1906,dead,2/7/2001,-94
Maharishi Mahesh Yogi,1/12/1917,dead,2/5/2008,-91
Tenzing Norgay,??/??/1914,dead,3/9/1986,-71
Rosa Parks,2/4/1913,dead,10/24/2005,-92
Paul Prudhomme,7/13/1940,alive,,70
Vidal Sassoon,1/17/1928,alive,,82
Eunice Kennedy Shriver,7/10/1921,dead,8/11/2009,-88
Joel Siegel,7/7/1943,dead,6/29/2007,-63
Curtis Sliwa,3/26/1954,alive,,56
Jimmy 'The Greek' Snyder,9/9/1919,dead,4/21/1996,-76
Lee Strasberg,11/17/1901,dead,2/17/1982,-80
Mother Teresa,8/27/1910,dead,9/5/1997,-87
Claus von Bulow,8/11/1926,alive,,84
Sunny von Bulow,9/1/1932,dead,12/6/2008,-76
Ruth Westheimer,6/4/1928,alive,,82
Simon Wiesenthal,12/31/1908,dead,9/20/2005,-96
Chuck Yeager,2/13/1923,alive,,87
